캠페인 이름,광고 이름,광고 ID,일별,나이,비용,노출수,클릭수(목적지),CTR(목적지),전환수,전환당 비용,전환율(CVR),랜딩 페이지 조회(웹사이트),도달,통화
2604_다이트_전환캠페인,(신)_대구_의료진정보_주사형비만치료제 10년은_260116,1861278242108689,2026-04-08,AGE_35_44,703,65,0,0.0,0,0,0.0,0,65,KRW
2604_다이트_전환캠페인,(신)_대구_의료진정보_주사형비만치료제 10년은_260116,1861278242108689,2026-04-08,AGE_45_54,2021,124,0,0.0,0,0,0.0,0,116,KRW
2604_다이트_전환캠페인,(신)_대구_의료진정보_주사형비만치료제 10년은_260116,1861278242108689,2026-04-08,AGE_55_100,2225,174,2,1.15,0,0,0.0,0,168,KRW
2603_다이트_전환캠페인,(신)_대구_의료진정보_주사형비만치료제 10년은_260116,1861074750911650,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,(신)_대구_의료진정보_주사형비만치료제 10년은_260116,1861278242108689,2026-04-08,NONE,17,2,0,0.0,0,0,0.0,0,0,KRW
2603_다이트_전환캠페인,(신)_대구_인플방문후기_50대엄마 혈당다이어트(햅삐)_260317,1859897365795954,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2603_다이트_전환캠페인,(신)_대구_인플방문후기_당뇨다이어트(대읽남)_260311,1859417671501954,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,(신)_대구_인플방문후기_먹으면서 다이어트(대읽남)_251017,1861277850752146,2026-04-08,AGE_35_44,11980,1502,6,0.4,0,0,0.0,0,1442,KRW
2604_다이트_전환캠페인,(신)_대구_인플방문후기_먹으면서 다이어트(대읽남)_251017,1861277850752146,2026-04-08,AGE_45_54,16703,1318,8,0.61,0,0,0.0,0,1268,KRW
2604_다이트_전환캠페인,(신)_대구_인플방문후기_먹으면서 다이어트(대읽남)_251017,1861277850752146,2026-04-08,AGE_55_100,10281,849,7,0.82,0,0,0.0,0,823,KRW
2603_다이트_전환캠페인,(신)_대구_인플방문후기_먹으면서 다이어트(대읽남)_251017,1858362316758178,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,(신)_대구_인플방문후기_먹으면서 다이어트(대읽남)_251017,1861277850752146,2026-04-08,NONE,72,8,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,(신)_대구_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796218051601,2026-04-08,AGE_35_44,2360,252,3,1.19,0,0,0.0,0,230,KRW
2604_다이트_전환캠페인,(신)_대구_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796218051601,2026-04-08,AGE_45_54,5321,362,3,0.83,0,0,0.0,0,342,KRW
2604_다이트_전환캠페인,(신)_대구_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796218051601,2026-04-08,AGE_55_100,2588,227,0,0.0,0,0,0.0,0,209,KRW
2604_다이트_전환캠페인,(신)_대구_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796218051601,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2603_다이트_전환캠페인,(신)_대구_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,1858362316758162,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,(신)_대전_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796462367905,2026-04-08,AGE_35_44,2422,219,2,0.91,0,0,0.0,0,208,KRW
2604_다이트_전환캠페인,(신)_대전_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796462367905,2026-04-08,AGE_45_54,4030,295,2,0.68,0,0,0.0,0,274,KRW
2604_다이트_전환캠페인,(신)_대전_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796462367905,2026-04-08,AGE_55_100,1985,146,1,0.68,0,0,0.0,0,134,KRW
