캠페인 이름,ad_name,ad_id,date,cost,impressions,CPM,clicks,CPC(목적지),CTR(목적지),conversions,전환당 비용,전환율(CVR),빈도,video_views,통화,landing_views,reach,CTR_calc,CVR_calc,CPA_calc,LPV_rate_calc,attribution_caution,소재구분,지점,소재유형,소재명,날짜코드,is_off,매칭키,parse_status,parse_issue
2601_다이트_전환캠페인,부평_의료진정보_주사형비만치료제 10년은_260116,1853174438054993,2026-02-03,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,,,,,False,,,,,,False,,FAIL,UNKNOWN_CREATIVE_TYPE
2601_다이트_전환캠페인,"부평_진료셀프캠_50대 여성, 뱃살부터 늘어나는 이유_251208",1853174438053921,2026-02-03,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,,,,,False,,,,,,False,,FAIL,UNKNOWN_CREATIVE_TYPE
2601_다이트_전환캠페인,수원_인플방문후기_내 몸 맞춤 다이어트(천안구석)_251223,1853174438077473,2026-02-03,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,,,,,False,,,,,,False,,FAIL,UNKNOWN_CREATIVE_TYPE
2601_다이트_전환캠페인,"일산_의료진정보_다이어트의 적!밥,빵,면_251208",1853174573584385,2026-02-03,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,,,,,False,,,,,,False,,FAIL,UNKNOWN_CREATIVE_TYPE
2512_전환_다이트_일산 (추가),일산_진료셀프캠_자주하는 질문 top3_251215,1851553560605697,2026-02-03,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,,,,,False,,,,,,False,,FAIL,UNKNOWN_CREATIVE_TYPE
2601_다이트_전환캠페인,창원_의료진정보_위고비마운자로 10년은_260116,1853174638246945,2026-02-03,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,,,,,False,,,,,,False,,FAIL,UNKNOWN_CREATIVE_TYPE
2601_다이트_전환캠페인,"창원_진료셀프캠_50대 여성, 뱃살부터 늘어나는 이유_251106",1853174638245937,2026-02-03,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,,,,,False,,,,,,False,,FAIL,UNKNOWN_CREATIVE_TYPE
2601_다이트_전환캠페인,창원_진료셀프캠_창원에 샤넬은 없지만_251217,1853174638245921,2026-02-03,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,,,,,False,,,,,,False,,FAIL,UNKNOWN_CREATIVE_TYPE
2601_다이트_전환캠페인,천안_의료진정보_주사형비만치료제 10년은_260116,1853174573613057,2026-02-03,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,,,,,False,,,,,,False,,FAIL,UNKNOWN_CREATIVE_TYPE
2512_전환_다이트_일산 (추가),일산_진료셀프캠_자주하는 질문 top3_251215,1851553560605697,2026-02-04,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,,,,,False,,,,,,False,,FAIL,UNKNOWN_CREATIVE_TYPE
2601_다이트_전환캠페인,서울_진료셀프캠_50대 다이어트는 힘을 빼야_260101,1853173894615138,2026-02-05,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,,,,,False,,,,,,False,,FAIL,UNKNOWN_CREATIVE_TYPE
2512_전환_다이트_일산 (추가),일산_진료셀프캠_자주하는 질문 top3_251215,1851553560605697,2026-02-05,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,,,,,False,,,,,,False,,FAIL,UNKNOWN_CREATIVE_TYPE
2512_전환_다이트_일산 (추가),일산_진료셀프캠_자주하는 질문 top3_251215,1851553560605697,2026-02-06,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,,,,,False,,,,,,False,,FAIL,UNKNOWN_CREATIVE_TYPE
2601_다이트_전환캠페인,서울_진료셀프캠_50대 다이어트는 힘을 빼야_260101,1853173894615138,2026-02-07,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,,,,,False,,,,,,False,,FAIL,UNKNOWN_CREATIVE_TYPE
2512_전환_다이트_일산 (추가),일산_진료셀프캠_자주하는 질문 top3_251215,1851553560605697,2026-02-07,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,,,,,False,,,,,,False,,FAIL,UNKNOWN_CREATIVE_TYPE
2512_전환_다이트_일산 (추가),일산_진료셀프캠_자주하는 질문 top3_251215,1851553560605697,2026-02-08,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,,,,,False,,,,,,False,,FAIL,UNKNOWN_CREATIVE_TYPE
2512_전환_다이트_일산 (추가),일산_진료셀프캠_자주하는 질문 top3_251215,1851553560605697,2026-02-09,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,,,,,False,,,,,,False,,FAIL,UNKNOWN_CREATIVE_TYPE
2512_전환_다이트_일산 (추가),일산_진료셀프캠_자주하는 질문 top3_251215,1851553560605697,2026-02-12,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,,,,,False,,,,,,False,,FAIL,UNKNOWN_CREATIVE_TYPE
2512_전환_다이트_일산 (추가),일산_진료셀프캠_자주하는 질문 top3_251215,1851553560605697,2026-02-13,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,,,,,False,,,,,,False,,FAIL,UNKNOWN_CREATIVE_TYPE
2512_전환_다이트_일산 (추가),일산_진료셀프캠_자주하는 질문 top3_251215,1851553560605697,2026-02-14,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,,,,,False,,,,,,False,,FAIL,UNKNOWN_CREATIVE_TYPE
2512_전환_다이트_일산 (추가),일산_진료셀프캠_자주하는 질문 top3_251215,1851553560605697,2026-02-18,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,,,,,False,,,,,,False,,FAIL,UNKNOWN_CREATIVE_TYPE
2601_다이트_전환캠페인,서울_진료셀프캠_밥빵면 안먹는데 요요_260101,1853173894615154,2026-04-12,0,0,0,0,0,0.0,0,0,0.0,0.0,0,KRW,0,0,,,,,False,,,,,,False,,FAIL,UNKNOWN_CREATIVE_TYPE
