소재구분,소재유형,소재명,집행지점목록,총비용,총전환,총클릭,총노출,마지막집행일,집행일수,CPA,CTR,CVR,상태
신규,의료진정보,"다이어트의 적!밥,빵,면","['서울', '일산']",1164972,65,968,104458,2026-03-30,56,17923.0,0.93,6.71,OFF
신규,의료진정보,주사형비만치료제맞고 한의원찾아오신,"['부평', '서울', '수원', '일산', '창원', '천안']",516998,14,389,88030,2026-03-26,41,36928.0,0.44,3.6,OFF
신규,인플방문후기,50대엄마 혈당다이어트(햅삐),"['대구', '부평']",193217,2,121,19586,2026-04-02,17,96608.0,0.62,1.65,OFF
신규,인플방문후기,건강한다이어트(박고경),"['대구', '서울', '수원', '일산', '창원', '천안']",47398,3,21,2054,2026-03-30,5,15799.0,1.02,14.29,OFF
신규,인플방문후기,끝내주는 다이어트(창원언니쓰),['창원'],261933,15,253,34525,2026-03-26,39,17462.0,0.73,5.93,OFF
신규,인플방문후기,당뇨다이어트(대읽남),['대구'],56566,1,24,9127,2026-04-01,19,56566.0,0.26,4.17,OFF
신규,인플방문후기,더먹어야 다이어트 가능(더먹어유),"['부평', '수원', '창원', '천안']",739499,14,381,73720,2026-04-02,21,52821.0,0.52,3.67,OFF
신규,인플방문후기,먹을거 다먹으면서(미미),"['수원', '창원']",171061,1,66,17488,2026-04-02,17,171061.0,0.38,1.52,OFF
신규,인플방문후기,배만 볼록한 대구직장인 다이어트(쭈링),['대구'],162338,4,135,28132,2026-03-27,39,40584.0,0.48,2.96,OFF
신규,진료셀프캠,"50대 여성, 뱃살부터 늘어나는 이유","['부평', '창원']",192732,2,155,31448,2026-03-18,37,96366.0,0.49,1.29,OFF
신규,진료셀프캠,다이어트 빼는 게 아니라 찾는 것,"['대구', '부평', '서울', '수원', '일산', '창원', '천안']",383181,14,247,53870,2026-03-28,34,27370.0,0.46,5.67,OFF
신규,진료셀프캠,다이어트가 끝난 오늘 꼭 해주고 싶은,['수원'],25424,0,38,8517,2026-03-11,15,,0.45,0.0,OFF
신규,진료셀프캠,명절음식 급찐살 칼로리 문제가 아닙니다,['서울'],11677,0,9,4147,2026-03-15,16,,0.22,0.0,OFF
신규,진료셀프캠,비교하는 순간 다이어트는 실패,['천안'],10764,1,6,2306,2026-02-19,11,10764.0,0.26,16.67,OFF
신규,진료셀프캠,살빼라고했지 적게 먹으라곤,"['대구', '부평', '서울', '수원', '일산', '창원', '천안']",216906,4,136,20961,2026-03-07,21,54226.0,0.65,2.94,OFF
신규,진료셀프캠,주사형 비만치료제보다 더중요한이것,"['대구', '부평', '서울', '수원', '일산', '창원', '천안']",7756877,319,5024,829685,2026-04-02,59,24316.0,0.61,6.35,OFF
재가공,리얼모델후기,16kg 충격적인 아이들 반응,['수원'],31398,0,11,2901,2026-04-01,6,,0.38,0.0,OFF
재가공,리얼모델후기,체지방만 14kg 먹으면서,"['대구', '부평', '서울', '수원', '일산', '창원', '천안']",112365,0,44,11566,2026-04-01,9,,0.38,0.0,OFF
재가공,방문후기,맘껏 먹는 다이어트,['창원'],51640,0,36,8132,2026-04-01,18,,0.44,0.0,OFF
재가공,방문후기,요요없는,['창원'],59567,1,28,8861,2026-04-01,21,59567.0,0.32,3.57,OFF
재가공,의료진정보,다이어트는 왜 항상 요요로 끝날까,"['부평', '수원']",138986,2,101,21656,2026-03-24,33,69493.0,0.47,1.98,OFF
재가공,의료진정보,비만주사 굶는다이어트,"['대구', '부평', '서울', '수원', '창원', '천안']",293118,3,113,35437,2026-04-02,14,97706.0,0.32,2.65,OFF
재가공,의료진정보,비만주사요요 탄수중독,"['부평', '수원', '창원', '천안']",195043,2,82,19275,2026-04-02,14,97522.0,0.43,2.44,OFF
재가공,인플방문후기,끝내주는 다이어트(창원언니쓰),['창원'],136781,4,48,15373,2026-04-01,24,34195.0,0.31,8.33,OFF
재가공,인플방문후기,맘껏 먹는 다이어트,"['대구', '부평', '서울', '수원']",161627,2,94,25241,2026-04-01,28,80814.0,0.37,2.13,OFF
재가공,인플방문후기,맘껏먹는 다이어트 한달후기,"['대구', '부평', '수원']",713184,17,340,72640,2026-04-02,28,41952.0,0.47,5.0,OFF
재가공,인플방문후기,먹으면서(대읽남),"['서울', '수원', '일산', '창원']",281293,12,123,36314,2026-04-02,27,23441.0,0.34,9.76,OFF
재가공,인플방문후기,요요없는,"['대구', '부평', '서울', '수원', '일산', '천안']",136823,4,74,25997,2026-04-01,28,34206.0,0.28,5.41,OFF
재가공,인플방문후기,체지방만쏙빼는(부산잇츠),"['부평', '서울', '수원', '일산', '창원', '천안']",3433155,113,2499,353672,2026-03-30,38,30382.0,0.71,4.52,OFF
재가공,진료QnA,지긋지긋 40대 뱃살 고생없이,"['대구', '부평', '수원', '일산', '창원']",326182,8,145,40842,2026-03-31,24,40773.0,0.36,5.52,OFF
재가공,진료셀프캠,50대 20대처럼 체지방,"['수원', '창원', '천안']",200526,1,87,23199,2026-04-02,16,200526.0,0.38,1.15,OFF
재가공,진료셀프캠,50대 뱃살 체지방만,"['대구', '부평', '서울', '수원', '일산', '창원', '천안']",285092,14,120,34771,2026-04-02,17,20364.0,0.35,11.67,OFF
재가공,진료셀프캠,명절음식 급찐살 칼로리 문제가 아닙니다,"['대구', '부평', '수원', '일산', '창원', '천안']",100932,2,72,28932,2026-03-17,26,50466.0,0.25,2.78,OFF
재가공,진료셀프캠,밥빵면 못끊던 40대 여성이,"['부평', '창원']",44662,0,19,6360,2026-03-27,15,,0.3,0.0,OFF
재가공,진료셀프캠,복부비만 50대 통짜몸매,['일산'],28725,3,18,3558,2026-03-26,13,9575.0,0.51,16.67,OFF
재가공,진료셀프캠,비만주사없이 체질,"['부평', '서울', '일산', '창원']",408626,10,210,37448,2026-04-02,14,40863.0,0.56,4.76,OFF
재가공,진료셀프캠,상체비만 40대 팔뚝살부터,['천안'],231000,4,95,17586,2026-04-02,23,57750.0,0.54,4.21,OFF
재가공,진료셀프캠,수원사는 50대 직장인,['수원'],45715,0,15,5547,2026-04-01,12,,0.27,0.0,OFF
재가공,진료셀프캠,인천사는 50대 직장인,['부평'],56926,1,31,6680,2026-04-01,14,56926.0,0.46,3.23,OFF
재가공,진료셀프캠,주사형비만치료제 고민끝에 -32kg 가능했던,['창원'],221772,7,140,21835,2026-03-29,29,31682.0,0.64,5.0,OFF
재가공,진료셀프캠,주사형비만치료제 고민끝에 40대부부 -32kg,['천안'],384510,12,208,29634,2026-03-29,27,32042.0,0.7,5.77,OFF
재가공,진료셀프캠,주사형비만치료제 고민끝에 50대부부 -32kg,['수원'],675127,19,282,65978,2026-04-02,37,35533.0,0.43,6.74,OFF
재가공,진료셀프캠,하체비만 40대 통짜바지,['수원'],322876,6,97,32476,2026-04-01,22,53813.0,0.3,6.19,OFF
