소재구분,소재유형,소재명,집행지점목록,집행지점분포,집행지점수,총비용,총전환,총클릭,총노출,총랜딩,집행일수,귀속주의건수,매칭키,CPA,CTR,CVR,랜딩률,평가가능,TIER,TIER_근거,지점편중주석,지점별_상대평가
재가공,의료진정보,비만주사요요 탄수중독,['대구'],{'대구': 13},1,57218,5,27,6452,0,13,0,의료진정보_비만주사요요 탄수중독,11444.0,0.42,18.52,0.0,False,LOW_VOLUME,"클릭 27건 / 비용 57,218원 — 표본 부족","[!] 대구 100% 집중 (지점 평균 CPA 22,570원)",[V] 대구 TOP (51%)
재가공,인플방문후기,"건강한다이어트(대구,박고경)",['대구'],{'대구': 10},1,151569,8,111,12657,0,9,0,"인플방문후기_건강한다이어트(대구,박고경)",18946.0,0.88,7.21,0.0,True,TIER1,"CPA(18,946원) ≤ 목표(28,724원) AND CVR(7.2%) ≥ 5%","[!] 대구 100% 집중 (지점 평균 CPA 22,570원)",
재가공,인플방문후기,"건강한다이어트(서울,박고경)",['서울'],{'서울': 9},1,95872,4,54,7361,0,9,0,"인플방문후기_건강한다이어트(서울,박고경)",23968.0,0.73,7.41,0.0,False,LOW_VOLUME,"클릭 54건 / 비용 95,872원 — 표본 부족","[!] 서울 100% 집중 (지점 평균 CPA 15,648원)",[X] 서울 LOW (153%)
재가공,인플방문후기,"건강한다이어트(수원,박고경)",['수원'],{'수원': 10},1,323820,7,156,21795,0,9,0,"인플방문후기_건강한다이어트(수원,박고경)",46260.0,0.72,4.49,0.0,True,TIER4,TIER1~3 조건 미충족,"[!] 수원 100% 집중 (지점 평균 CPA 42,646원)",
재가공,인플방문후기,"건강한다이어트(일산, 박고경)",['일산'],{'일산': 10},1,14893,0,9,1377,0,9,0,"인플방문후기_건강한다이어트(일산, 박고경)",,0.65,0.0,0.0,False,LOW_VOLUME,"클릭 9건 / 비용 14,893원 — 표본 부족","[!] 일산 100% 집중 (지점 평균 CPA 15,962원)",
재가공,인플방문후기,"건강한다이어트(창원,박고경)",['창원'],{'창원': 9},1,79475,1,43,5497,0,9,0,"인플방문후기_건강한다이어트(창원,박고경)",79475.0,0.78,2.33,0.0,False,LOW_VOLUME,"클릭 43건 / 비용 79,475원 — 표본 부족","[!] 창원 100% 집중 (지점 평균 CPA 48,417원)",[X] 창원 LOW (164%)
재가공,인플방문후기,"건강한다이어트(천안, 박고경)",['천안'],{'천안': 10},1,161803,6,73,11142,0,9,0,"인플방문후기_건강한다이어트(천안, 박고경)",26967.0,0.66,8.22,0.0,True,TIER1,"CPA(26,967원) ≤ 목표(28,724원) AND CVR(8.2%) ≥ 5%","[!] 천안 100% 집중 (지점 평균 CPA 32,649원)",
재가공,인플방문후기,맘껏먹는 다이어트 한달후기,"['서울', '일산', '창원', '천안']","{'일산': 29, '창원': 28, '천안': 28, '서울': 28}",4,1402547,55,702,135444,0,28,0,인플방문후기_맘껏먹는 다이어트 한달후기,25501.0,0.52,7.83,0.0,True,TIER1,"CPA(25,501원) ≤ 목표(28,724원) AND CVR(7.8%) ≥ 5%",,[X] 천안 LOW (179%)
재가공,인플방문후기,체지방만쏙빼는(부산잇츠),['대구'],{'대구': 67},1,762007,25,474,83197,0,42,0,인플방문후기_체지방만쏙빼는(부산잇츠),30480.0,0.57,5.27,0.0,True,TIER3,"CPA(30,480원) > 목표 / CVR(5.3%) ≥ 5%","[!] 대구 100% 집중 (지점 평균 CPA 22,570원)",
재가공,진료QnA,지긋지긋 40대 뱃살 고생없이,"['서울', '천안']","{'서울': 26, '천안': 26}",2,197577,8,71,18933,0,27,0,진료QnA_지긋지긋 40대 뱃살 고생없이,24697.0,0.38,11.27,0.0,True,TIER1,"CPA(24,697원) ≤ 목표(28,724원) AND CVR(11.3%) ≥ 5%",,
