소재구분,소재유형,소재명,집행지점목록,집행지점분포,집행지점수,총비용,총전환,총클릭,총노출,총랜딩,집행일수,귀속주의건수,매칭키,CPA,CTR,CVR,랜딩률,평가가능,TIER,TIER_근거,지점편중주석,지점별_상대평가
신규,의료진정보,주사형비만치료제 10년은,['천안'],{'천안': 86},1,551878,13,338,61797,34,76,0,의료진정보_주사형비만치료제 10년은,42452.0,0.55,3.85,10.1,True,TIER4,TIER1~3 조건 미충족,"[!] 천안 100% 집중 (지점 평균 CPA 32,649원)",
신규,인플방문후기,밥빵면안당기는원장님(itsmeyuriwon),"['대구', '대전', '부평', '서울', '창원', '천안']","{'대구': 22, '대전': 22, '부평': 22, '서울': 22, '창원': 22, '천안': 22}",6,1503584,55,878,115546,605,22,0,인플방문후기_밥빵면안당기는원장님(itsmeyuriwon),27338.0,0.76,6.26,68.9,True,TIER1,"CPA(27,338원) ≤ 목표(27,338원) AND CVR(6.3%) ≥ 5%",,
신규,인플방문후기,주사형비만치료제(the.hyunniverse),"['대전', '부평', '서울', '수원', '일산', '천안']","{'수원': 25, '대전': 20, '부평': 20, '서울': 20, '일산': 20, '천안': 20}",6,1798034,63,843,212596,499,25,0,인플방문후기_주사형비만치료제(the.hyunniverse),28540.0,0.4,7.47,59.2,True,TIER3,"CPA(28,540원) > 목표 / CVR(7.5%) ≥ 5%",,[V] 천안 TOP (64%)
재가공,의료진정보,4050나잇살 이유는 여기에,['수원'],{'수원': 19},1,113960,3,62,21289,32,19,0,의료진정보_4050나잇살 이유는 여기에,37987.0,0.29,4.84,51.6,True,TIER4,TIER1~3 조건 미충족,"[!] 수원 100% 집중 (지점 평균 CPA 42,646원)",
재가공,인플방문후기,"건강한다이어트(대구,박고경)",['대구'],{'대구': 53},1,355569,17,265,36983,104,35,0,"인플방문후기_건강한다이어트(대구,박고경)",20916.0,0.72,6.42,39.2,True,TIER1,"CPA(20,916원) ≤ 목표(27,338원) AND CVR(6.4%) ≥ 5%","[!] 대구 100% 집중 (지점 평균 CPA 22,570원)",
재가공,인플방문후기,맘껏먹는 다이어트 한달후기,['일산'],{'일산': 71},1,575188,36,348,45801,56,54,0,인플방문후기_맘껏먹는 다이어트 한달후기,15977.0,0.76,10.34,16.1,True,TIER1,"CPA(15,977원) ≤ 목표(27,338원) AND CVR(10.3%) ≥ 5%","[!] 일산 100% 집중 (지점 평균 CPA 15,962원)",
재가공,인플방문후기,먹고싶은거다먹는(수원잇츠),['일산'],{'일산': 26},1,115976,8,58,10632,20,26,0,인플방문후기_먹고싶은거다먹는(수원잇츠),14497.0,0.55,13.79,34.5,True,TIER1,"CPA(14,497원) ≤ 목표(27,338원) AND CVR(13.8%) ≥ 5%","[!] 일산 100% 집중 (지점 평균 CPA 15,962원)",
재가공,인플방문후기,연예인다이어트(일산 플랜비),['일산'],{'일산': 13},1,91934,6,45,17453,50,13,0,인플방문후기_연예인다이어트(일산 플랜비),15322.0,0.26,13.33,111.1,False,LOW_VOLUME,"클릭 45건 / 비용 91,934원 — 표본 부족","[!] 일산 100% 집중 (지점 평균 CPA 15,962원)",
재가공,인플방문후기,연예인다이어트(플랜비),['부평'],{'부평': 13},1,144100,4,71,20255,78,13,0,인플방문후기_연예인다이어트(플랜비),36025.0,0.35,5.63,109.9,True,TIER3,"CPA(36,025원) > 목표 / CVR(5.6%) ≥ 5%","[!] 부평 100% 집중 (지점 평균 CPA 34,451원)",
재가공,진료셀프캠,50대다이어트대사,"['대구', '대전', '부평', '서울', '수원', '일산', '창원', '천안']","{'대구': 7, '대전': 7, '부평': 7, '서울': 7, '수원': 7, '일산': 7, '창원': 7, '천안': 7}",8,311697,10,132,52512,173,7,0,진료셀프캠_50대다이어트대사,31170.0,0.25,7.58,131.1,True,TIER3,"CPA(31,170원) > 목표 / CVR(7.6%) ≥ 5%",,[V] 대구 TOP (58%) | [V] 수원 TOP (63%)
재가공,진료셀프캠,다이어트의적 밥빵면,"['대구', '대전']","{'대구': 22, '대전': 22}",2,1056692,41,573,61058,466,22,0,진료셀프캠_다이어트의적 밥빵면,25773.0,0.94,7.16,81.3,True,TIER1,"CPA(25,773원) ≤ 목표(27,338원) AND CVR(7.2%) ≥ 5%",,
재가공,진료셀프캠,비만주사가놓친것,['서울'],{'서울': 15},1,26014,4,18,4537,37,15,0,진료셀프캠_비만주사가놓친것,6504.0,0.4,22.22,205.6,False,LOW_VOLUME,"클릭 18건 / 비용 26,014원 — 표본 부족","[!] 서울 100% 집중 (지점 평균 CPA 15,648원)",[V] 서울 TOP (42%)
재가공,진료셀프캠,비만주사는입만막을뿐,"['대구', '대전', '부평', '서울', '수원', '일산', '창원', '천안']","{'대구': 6, '대전': 6, '부평': 6, '서울': 6, '수원': 6, '일산': 6, '창원': 6, '천안': 6}",8,459688,15,186,64757,229,6,0,진료셀프캠_비만주사는입만막을뿐,30646.0,0.29,8.06,123.1,False,UNCLASSIFIED,집행 6일 — 데이터 누적 중,,[V] 일산 TOP (70%)
