hour,총비용,총전환,총클릭,총노출,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
0,863322,28,541,80136,4.0,3.8,30833.0,0.68,5.18,0.95
1,565931,38,356,51729,2.6,5.1,14893.0,0.69,10.67,1.96
2,386231,14,245,33434,1.8,1.9,27588.0,0.73,5.71,1.06
3,308886,10,194,24890,1.4,1.3,30889.0,0.78,5.15,0.93
4,325441,11,180,23182,1.5,1.5,29586.0,0.78,6.11,1.0
5,470394,13,242,29125,2.2,1.7,36184.0,0.83,5.37,0.77
6,847570,34,498,51009,3.9,4.6,24929.0,0.98,6.83,1.18
7,1149342,26,585,74875,5.3,3.5,44205.0,0.78,4.44,0.66
8,1122076,27,542,77804,5.2,3.6,41558.0,0.7,4.98,0.69
9,990810,38,504,71428,4.6,5.1,26074.0,0.71,7.54,1.11
10,952556,45,434,70039,4.4,6.0,21168.0,0.62,10.37,1.36
11,938515,17,378,71346,4.3,2.3,55207.0,0.53,4.5,0.53
12,927543,37,413,78872,4.3,5.0,25069.0,0.52,8.96,1.16
13,919645,24,382,78991,4.2,3.2,38319.0,0.48,6.28,0.76
14,880594,14,417,80176,4.1,1.9,62900.0,0.52,3.36,0.46
15,1005654,29,474,97292,4.6,3.9,34678.0,0.49,6.12,0.85
16,1033282,27,544,109706,4.8,3.6,38270.0,0.5,4.96,0.75
17,1070836,24,507,111773,4.9,3.2,44618.0,0.45,4.73,0.65
18,1074315,29,528,109185,5.0,3.9,37045.0,0.48,5.49,0.78
19,1102661,36,547,109292,5.1,4.8,30629.0,0.5,6.58,0.94
20,1195185,51,605,120719,5.5,6.8,23435.0,0.5,8.43,1.24
21,1224702,56,721,126784,5.7,7.5,21870.0,0.57,7.77,1.32
22,1210137,69,711,127937,5.6,9.3,17538.0,0.56,9.7,1.66
23,1095324,48,678,115002,5.1,6.4,22819.0,0.59,7.08,1.25
